"Strategy Name";"Filters result";"Net profit (IS)";"Net profit (OOS)";"Profit factor (IS)";"Profit factor (OOS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Stability (IS)";"Stability (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Edge Ratio (IS)";"Edge Ratio (OOS)";"Fitness (IS)";"Fitness (OOS)";"Ret/DD Ratio (IS)";"Ret/DD Ratio (OOS)";"Avg. Trades Per Month";"Win/Loss ratio (IS)";"Win/Loss ratio (OOS)";"Complexity (IS)";"Degrees of freedom (IS)";"Kelly formula (IS)";"Kelly formula (OOS)";"SQN Score (IS)";"SQN Score (OOS)";"EquityAngle";"EquitySlope"
"Strategy 3.16.117";"PASSED";"222.57";"0.0";"1.06";"0.0";"95.3";"104.74";"0.64";"0.0";"0.0";"0.0";"1.05";"0.0";"0.32";"0.0";"0.25";"0.0";"2.58";"1.16";"0.0";"10";"70";"2.92";"0.0";"0.05";"0.0";"13.5";"2.56"
"Strategy 3.18.166";"PASSED";"1829.07";"0.0";"1.65";"0.0";"94.7";"62.47";"0.76";"0.0";"0.0";"0.0";"1.71";"0.0";"0.69";"0.0";"5.55";"0.0";"3.03";"1.09";"0.0";"16";"78";"20.55";"0.0";"0.63";"0.0";"62.73";"57.08"
"Strategy 4.16.119";"PASSED";"797.76";"0.0";"1.44";"0.0";"84.41";"64.97";"0.63";"0.0";"0.0";"0.0";"1.62";"0.0";"0.5";"0.0";"1.72";"0.0";"1.9";"1.11";"0.0";"16";"43";"16.02";"0.0";"0.14";"0.0";"40.71";"10.99"
"Strategy 3.14.185";"PASSED";"742.95";"0.0";"1.24";"0.0";"73.56";"73.39";"0.55";"0.0";"0.0";"0.0";"1.2";"0.0";"0.5";"0.0";"1.38";"0.0";"3.03";"1.24";"0.0";"14";"80";"10.74";"0.0";"0.28";"0.0";"38.5";"20.79"
"Strategy 2.19.160";"PASSED";"1849.95";"0.0";"1.61";"0.0";"99.66";"81.99";"0.86";"0.0";"0.0";"0.0";"1.35";"0.0";"0.64";"0.0";"3.8";"0.0";"2.77";"1.32";"0.0";"10";"76";"21.58";"0.0";"0.5";"0.0";"62.92";"59.77"
"Strategy 2.18.122";"PASSED";"245.79";"0.0";"1.11";"0.0";"94.72";"59.27";"0.51";"0.0";"0.0";"0.0";"1.81";"0.0";"0.3";"0.0";"0.25";"0.0";"2.13";"0.69";"0.0";"11";"55";"3.93";"0.0";"0.05";"0.0";"14.52";"0.0"
"Strategy 4.22.133";"PASSED";"401.22";"0.0";"1.12";"0.0";"97.1";"75.71";"0.59";"0.0";"0.0";"0.0";"1.38";"0.0";"0.37";"0.0";"0.47";"0.0";"2.77";"0.87";"0.0";"15";"71";"4.8";"0.0";"0.11";"0.0";"23.09";"3.69"
"Strategy 2.16.142";"PASSED";"1156.95";"0.0";"1.38";"0.0";"92.67";"56.86";"0.8";"0.0";"0.0";"0.0";"1.32";"0.0";"0.56";"0.0";"2.15";"0.0";"3.16";"0.85";"0.0";"11";"87";"12.74";"0.0";"0.47";"0.0";"50.85";"39.15"
"Strategy 4.8.166";"PASSED";"885.96";"0.0";"1.39";"0.0";"59.43";"47.17";"0.73";"0.0";"0.0";"0.0";"1.42";"0.0";"0.56";"0.0";"1.72";"0.0";"3.26";"1.1";"0.0";"16";"85";"14.76";"0.0";"0.24";"0.0";"43.46";"19.99"
"Strategy 4.20.101";"PASSED";"2475.09";"0.0";"1.93";"0.0";"111.88";"74.21";"0.83";"0.0";"0.0";"0.0";"1.78";"0.0";"0.69";"0.0";"5.65";"0.0";"2.65";"1.28";"0.0";"15";"67";"26.98";"0.0";"0.58";"0.0";"69.33";"63.78"
