"Strategy Name";"Filters result";"Net profit (IS)";"Net profit (OOS)";"Profit factor (IS)";"Profit factor (OOS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Stability (IS)";"Stability (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Edge Ratio (IS)";"Edge Ratio (OOS)";"Fitness (IS)";"Fitness (OOS)";"Ret/DD Ratio (IS)";"Ret/DD Ratio (OOS)";"Avg. Trades Per Month";"Win/Loss ratio (IS)";"Win/Loss ratio (OOS)";"Complexity (IS)";"Degrees of freedom (IS)";"Kelly formula (IS)";"Kelly formula (OOS)";"SQN Score (IS)";"SQN Score (OOS)";"EquityAngle";"EquitySlope"
"Strategy 3.9.129";"PASSED";"0.0";"-26.46";"0.0";"0.98";"0.0";"0.0";"0.0";"-0.22";"96.99";"74.4";"0.0";"1.16";"0.0";"0.12";"0.0";"-0.05";"2.33";"0.0";"0.75";"10";"0";"0.0";"-0.97";"0.0";"0.0";"-4.29";"-0.04"
"Strategy 2.23.127";"PASSED";"0.0";"724.59";"0.0";"1.42";"0.0";"0.0";"0.0";"0.69";"90.81";"69.09";"0.0";"1.34";"0.0";"0.52";"0.0";"2.03";"4.33";"0.0";"1.08";"12";"0";"0.0";"15.34";"0.0";"0.29";"63.58";"36.88"
"Strategy 4.10.107";"PASSED";"0.0";"286.11";"0.0";"1.36";"0.0";"0.0";"0.0";"0.79";"60.41";"42.17";"0.0";"1.56";"0.0";"0.36";"0.0";"1.54";"3.08";"0.0";"0.95";"13";"0";"0.0";"12.8";"0.0";"0.09";"39.75";"29.42"
"Strategy 2.13.161";"PASSED";"0.0";"833.4";"0.0";"1.97";"0.0";"0.0";"0.0";"0.81";"105.73";"50.49";"0.0";"1.66";"0.0";"0.45";"0.0";"3.55";"2.75";"0.0";"0.94";"10";"0";"0.0";"23.88";"0.0";"0.17";"66.64";"56.64"
"Strategy 4.17.178";"PASSED";"0.0";"227.16";"0.0";"1.15";"0.0";"0.0";"0.0";"0.44";"106.55";"70.37";"0.0";"1.41";"0.0";"0.25";"0.0";"0.4";"3.08";"0.0";"0.76";"12";"0";"0.0";"5.76";"0.0";"0.05";"33.13";"8.95"
"Strategy 1.28.142";"PASSED";"0.0";"676.62";"0.0";"1.47";"0.0";"0.0";"0.0";"0.29";"87.67";"49.22";"0.0";"1.41";"0.0";"0.45";"0.0";"1.16";"4.42";"0.0";"0.83";"8";"0";"0.0";"14.56";"0.0";"0.3";"61.98";"14.26"
"Strategy 4.21.119";"PASSED";"0.0";"1099.98";"0.0";"1.89";"0.0";"0.0";"0.0";"0.46";"123.16";"65.26";"0.0";"1.31";"0.0";"0.42";"0.0";"2.75";"3.17";"0.0";"1.0";"16";"0";"0.0";"23.5";"0.0";"0.23";"71.88";"51.03"
"Strategy 4.20.193";"PASSED";"0.0";"240.21";"0.0";"1.36";"0.0";"0.0";"0.0";"0.37";"60.23";"41.45";"0.0";"1.26";"0.0";"0.3";"0.0";"0.8";"2.58";"0.0";"0.94";"17";"0";"0.0";"12.87";"0.0";"0.06";"34.69";"7.98"
"Strategy 2.15.166";"PASSED";"0.0";"592.2";"0.0";"2.32";"0.0";"0.0";"0.0";"0.56";"69.5";"50.03";"0.0";"2.3";"0.0";"0.26";"0.0";"2.1";"2.0";"0.0";"1.67";"11";"0";"0.0";"35.51";"0.0";"0.09";"61.62";"44.37"
"Strategy 2.15.122";"PASSED";"0.0";"1017.36";"0.0";"2.37";"0.0";"0.0";"0.0";"0.63";"97.73";"46.36";"0.0";"2.43";"0.0";"0.5";"0.0";"6.25";"2.83";"0.0";"1.13";"11";"0";"0.0";"30.62";"0.0";"0.22";"70.51";"59.23"
"Strategy 4.22.160";"PASSED";"0.0";"19.44";"0.0";"1.02";"0.0";"0.0";"0.0";"0.66";"137.79";"77.35";"0.0";"1.36";"0.0";"0.13";"0.0";"0.05";"1.83";"0.0";"0.57";"16";"0";"0.0";"0.64";"0.0";"0.0";"3.47";"0.49"
"Strategy 3.12.150";"PASSED";"0.0";"-66.69";"0.0";"0.96";"0.0";"0.0";"0.0";"-0.33";"114.39";"70.26";"0.0";"1.21";"0.0";"0.17";"0.0";"-0.08";"3.58";"0.0";"0.59";"11";"0";"0.0";"-1.35";"0.0";"-0.02";"-10.7";"-1.93"
"Strategy 4.19.183";"PASSED";"0.0";"23.76";"0.0";"1.01";"0.0";"0.0";"0.0";"0.26";"131.23";"80.11";"0.0";"1.04";"0.0";"0.19";"0.0";"0.04";"2.83";"0.0";"0.62";"16";"0";"0.0";"0.53";"0.0";"0.0";"3.93";"0.08"
"Strategy 4.13.129";"PASSED";"0.0";"12.15";"0.0";"1.02";"0.0";"0.0";"0.0";"0.66";"35.05";"28.53";"0.0";"2.02";"0.0";"0.19";"0.0";"0.07";"2.75";"0.0";"0.83";"11";"0";"0.0";"1.05";"0.0";"0.01";"1.98";"0.5"
"Strategy 3.13.127";"PASSED";"0.0";"410.22";"0.0";"1.29";"0.0";"0.0";"0.0";"0.33";"102.48";"65.2";"0.0";"1.15";"0.0";"0.26";"0.0";"0.46";"3.33";"0.0";"0.82";"12";"0";"0.0";"10.01";"0.0";"0.1";"48.73";"0.0"
"Strategy 2.23.124";"PASSED";"0.0";"772.74";"0.0";"3.88";"0.0";"0.0";"0.0";"0.68";"54.8";"33.55";"0.0";"1.98";"0.0";"0.34";"0.0";"6.63";"2.25";"0.0";"2.38";"13";"0";"0.0";"52.23";"0.0";"0.18";"66.69";"51.35"
"Strategy 1.1.140";"PASSED";"0.0";"112.32";"0.0";"1.23";"0.0";"0.0";"0.0";"0.43";"66.07";"53.59";"0.0";"1.43";"0.0";"0.12";"0.0";"0.33";"1.5";"0.0";"1.0";"10";"0";"0.0";"9.44";"0.0";"0.01";"19.07";"4.58"
"Strategy 3.14.122";"PASSED";"0.0";"261.36";"0.0";"1.14";"0.0";"0.0";"0.0";"0.68";"110.34";"73.41";"0.0";"1.22";"0.0";"0.27";"0.0";"0.55";"3.67";"0.0";"0.76";"10";"0";"0.0";"5.38";"0.0";"0.07";"36.21";"11.59"
"Strategy 2.18.147";"PASSED";"0.0";"492.39";"0.0";"1.43";"0.0";"0.0";"0.0";"0.64";"91.39";"50.11";"0.0";"1.43";"0.0";"0.37";"0.0";"1.59";"3.42";"0.0";"0.78";"11";"0";"0.0";"13.14";"0.0";"0.14";"54.13";"42.22"
"Strategy 3.16.134";"PASSED";"0.0";"653.49";"0.0";"1.47";"0.0";"0.0";"0.0";"0.79";"96.75";"68.91";"0.0";"1.25";"0.0";"0.38";"0.0";"1.82";"3.42";"0.0";"1.05";"9";"0";"0.0";"16.47";"0.0";"0.16";"61.15";"44.64"
"Strategy 2.14.179";"PASSED";"0.0";"1049.22";"0.0";"3.81";"0.0";"0.0";"0.0";"0.81";"74.89";"46.72";"0.0";"2.76";"0.0";"0.32";"0.0";"5.32";"2.25";"0.0";"2.38";"11";"0";"0.0";"51.88";"0.0";"0.2";"72.44";"60.13"
"Strategy 2.20.168";"PASSED";"0.0";"566.19";"0.0";"1.41";"0.0";"0.0";"0.0";"0.7";"108.3";"69.16";"0.0";"1.65";"0.0";"0.35";"0.0";"1.34";"3.17";"0.0";"0.9";"10";"0";"0.0";"13.76";"0.0";"0.13";"57.55";"25.32"
"Strategy 3.20.147";"PASSED";"0.0";"-538.74";"0.0";"0.71";"0.0";"0.0";"0.0";"-0.65";"58.07";"64.63";"0.0";"0.72";"0.0";"0.17";"0.0";"-0.78";"4.33";"0.0";"0.79";"11";"0";"0.0";"-17.84";"0.0";"-0.24";"-56.4";"-29.89"
"Strategy 3.22.174";"PASSED";"0.0";"672.84";"0.0";"1.34";"0.0";"0.0";"0.0";"0.74";"125.18";"85.04";"0.0";"1.59";"0.0";"0.39";"0.0";"1.96";"3.67";"0.0";"0.91";"9";"0";"0.0";"12.22";"0.0";"0.15";"62.05";"44.68"
"Strategy 3.1.142";"PASSED";"0.0";"-63.09";"0.0";"0.97";"0.0";"0.0";"0.0";"-0.71";"86.48";"66.2";"0.0";"1.45";"0.0";"0.22";"0.0";"-0.16";"4.5";"0.0";"0.74";"10";"0";"0.0";"-1.35";"0.0";"-0.03";"-10.05";"-3.52"
"Strategy 3.15.181";"PASSED";"0.0";"-238.23";"0.0";"0.85";"0.0";"0.0";"0.0";"-0.37";"104.68";"66.63";"0.0";"1.09";"0.0";"0.15";"0.0";"-0.38";"3.08";"0.0";"0.54";"14";"0";"0.0";"-6.15";"0.0";"-0.05";"-33.49";"-2.34"
"Strategy 3.7.168";"PASSED";"0.0";"922.41";"0.0";"2.25";"0.0";"0.0";"0.0";"0.77";"92.08";"73.5";"0.0";"2.1";"0.0";"0.31";"0.0";"3.94";"2.33";"0.0";"1.8";"9";"0";"0.0";"35.78";"0.0";"0.13";"68.68";"62.5"
"Strategy 2.11.145";"PASSED";"0.0";"1124.64";"0.0";"2.7";"0.0";"0.0";"0.0";"0.55";"99.23";"36.74";"0.0";"2.39";"0.0";"0.5";"0.0";"6.53";"3.0";"0.0";"1.0";"9";"0";"0.0";"31.49";"0.0";"0.29";"72.11";"54.8"
"Strategy 3.15.102";"PASSED";"0.0";"1348.65";"0.0";"4.25";"0.0";"0.0";"0.0";"0.86";"125.95";"41.47";"0.0";"2.4";"0.0";"0.35";"0.0";"9.08";"2.0";"0.0";"1.4";"9";"0";"0.0";"44.61";"0.0";"0.14";"75.45";"71.68"
"Strategy 2.13.136";"PASSED";"0.0";"-431.91";"0.0";"0.88";"0.0";"0.0";"0.0";"-0.52";"73.92";"90.68";"0.0";"1.01";"0.0";"0.21";"0.0";"-0.46";"6.75";"0.0";"1.08";"12";"0";"0.0";"-7.21";"0.0";"-0.31";"-49.64";"-24.82"
"Strategy 4.13.138";"PASSED";"0.0";"865.08";"0.0";"1.93";"0.0";"0.0";"0.0";"0.51";"78.24";"77.87";"0.0";"1.86";"0.0";"0.47";"0.0";"4.23";"2.92";"0.0";"1.92";"16";"0";"0.0";"31.59";"0.0";"0.19";"69.7";"55.76"
"Strategy 3.21.189";"PASSED";"0.0";"-212.85";"0.0";"0.89";"0.0";"0.0";"0.0";"-0.36";"84.99";"79.69";"0.0";"1.01";"0.0";"0.16";"0.0";"-0.25";"3.67";"0.0";"0.83";"9";"0";"0.0";"-5.69";"0.0";"-0.06";"-30.59";"0.0"
"Strategy 2.21.167";"PASSED";"0.0";"563.76";"0.0";"1.41";"0.0";"0.0";"0.0";"0.7";"114.53";"69.16";"0.0";"1.66";"0.0";"0.35";"0.0";"1.33";"3.08";"0.0";"0.85";"10";"0";"0.0";"13.31";"0.0";"0.12";"57.44";"24.7"
"Strategy 3.16.103";"PASSED";"0.0";"462.96";"0.0";"1.55";"0.0";"0.0";"0.0";"0.69";"92.72";"55.67";"0.0";"1.45";"0.0";"0.24";"0.0";"1.52";"2.42";"0.0";"0.93";"10";"0";"0.0";"17.22";"0.0";"0.07";"52.21";"19.84"
"Strategy 2.12.186";"PASSED";"0.0";"1233.81";"0.0";"2.63";"0.0";"0.0";"0.0";"0.69";"99.46";"50.36";"0.0";"2.33";"0.0";"0.53";"0.0";"9.83";"2.92";"0.0";"1.33";"11";"0";"0.0";"35.44";"0.0";"0.27";"73.73";"65.62"
"Strategy 2.20.135";"PASSED";"0.0";"1240.65";"0.0";"2.24";"0.0";"0.0";"0.0";"0.8";"89.5";"66.46";"0.0";"1.86";"0.0";"0.5";"0.0";"6.2";"3.33";"0.0";"1.67";"12";"0";"0.0";"34.66";"0.0";"0.32";"73.82";"67.18"
"Strategy 4.14.148";"PASSED";"0.0";"235.44";"0.0";"1.12";"0.0";"0.0";"0.0";"0.6";"111.64";"66.58";"0.0";"1.39";"0.0";"0.33";"0.0";"0.36";"4.25";"0.0";"0.67";"13";"0";"0.0";"4.22";"0.0";"0.08";"33.85";"1.35"
"Strategy 4.8.158";"PASSED";"0.0";"240.75";"0.0";"1.31";"0.0";"0.0";"0.0";"0.59";"63.18";"42.79";"0.0";"1.56";"0.0";"0.33";"0.0";"1.16";"2.83";"0.0";"0.89";"17";"0";"0.0";"11.21";"0.0";"0.07";"34.75";"3.82"
"Strategy 3.14.109";"PASSED";"0.0";"1335.6";"0.0";"4.22";"0.0";"0.0";"0.0";"0.86";"125.02";"41.47";"0.0";"2.37";"0.0";"0.35";"0.0";"8.99";"2.0";"0.0";"1.4";"9";"0";"0.0";"44.51";"0.0";"0.14";"75.32";"71.55"
"Strategy 2.22.147";"PASSED";"0.0";"719.37";"0.0";"1.76";"0.0";"0.0";"0.0";"0.66";"72.27";"67.35";"0.0";"1.63";"0.0";"0.41";"0.0";"2.31";"3.08";"0.0";"1.64";"12";"0";"0.0";"26.9";"0.0";"0.18";"63.41";"44.39"
"Strategy 2.9.179";"PASSED";"0.0";"636.3";"0.0";"1.32";"0.0";"0.0";"0.0";"0.71";"81.24";"65.44";"0.0";"1.64";"0.0";"0.42";"0.0";"0.93";"5.17";"0.0";"1.07";"12";"0";"0.0";"12.63";"0.0";"0.34";"60.84";"22.51"
"Strategy 3.16.192";"PASSED";"0.0";"1422.36";"0.0";"5.16";"0.0";"0.0";"0.0";"0.87";"126.05";"38.03";"0.0";"2.59";"0.0";"0.35";"0.0";"9.88";"1.92";"0.0";"1.56";"9";"0";"0.0";"49.06";"0.0";"0.14";"76.18";"72.37"
"Strategy 4.2.128";"PASSED";"0.0";"128.97";"0.0";"1.14";"0.0";"0.0";"0.0";"0.34";"75.0";"46.05";"0.0";"1.16";"0.0";"0.23";"0.0";"0.29";"2.83";"0.0";"0.7";"16";"0";"0.0";"5.06";"0.0";"0.03";"20.39";"0.0"
"Strategy 2.10.128";"PASSED";"0.0";"1012.86";"0.0";"2.31";"0.0";"0.0";"0.0";"0.6";"89.26";"42.9";"0.0";"2.1";"0.0";"0.49";"0.0";"5.62";"3.17";"0.0";"1.11";"11";"0";"0.0";"29.86";"0.0";"0.28";"70.28";"57.63"
"Strategy 2.8.171";"PASSED";"0.0";"540.99";"0.0";"1.28";"0.0";"0.0";"0.0";"0.68";"78.26";"65.44";"0.0";"1.68";"0.0";"0.4";"0.0";"0.79";"5.17";"0.0";"1.07";"12";"0";"0.0";"11.15";"0.0";"0.29";"56.73";"27.23"
"Strategy 4.4.137";"PASSED";"0.0";"-145.8";"0.0";"0.92";"0.0";"0.0";"0.0";"-0.51";"68.66";"78.41";"0.0";"1.1";"0.0";"0.15";"0.0";"-0.37";"3.75";"0.0";"1.05";"7";"0";"0.0";"-4.72";"0.0";"-0.05";"-22.22";"-3.78"
"Strategy 3.9.146";"PASSED";"0.0";"-566.64";"0.0";"0.75";"0.0";"0.0";"0.0";"-0.71";"102.7";"82.59";"0.0";"1.2";"0.0";"0.14";"0.0";"-0.59";"3.75";"0.0";"0.61";"11";"0";"0.0";"-12.26";"0.0";"-0.16";"-57.86";"-28.93"
"Strategy 2.13.148";"PASSED";"0.0";"1028.43";"0.0";"2.13";"0.0";"0.0";"0.0";"0.47";"92.36";"39.62";"0.0";"2.26";"0.0";"0.47";"0.0";"4.47";"3.67";"0.0";"0.91";"9";"0";"0.0";"25.31";"0.0";"0.37";"70.61";"42.37"
"Strategy 2.10.168";"PASSED";"0.0";"243.45";"0.0";"1.13";"0.0";"0.0";"0.0";"0.58";"44.15";"58.62";"0.0";"1.02";"0.0";"0.37";"0.0";"0.5";"6.67";"0.0";"1.5";"13";"0";"0.0";"6.89";"0.0";"0.26";"34.29";"0.0"
"Strategy 3.16.117";"PASSED";"0.0";"274.05";"0.0";"1.4";"0.0";"0.0";"0.0";"0.48";"106.98";"57.4";"0.0";"1.08";"0.0";"0.19";"0.0";"0.72";"1.75";"0.0";"0.75";"10";"0";"0.0";"12.2";"0.0";"0.02";"40.14";"1.61"
"Strategy 3.18.166";"PASSED";"0.0";"599.22";"0.0";"1.54";"0.0";"0.0";"0.0";"0.39";"100.44";"48.19";"0.0";"1.56";"0.0";"0.32";"0.0";"0.97";"3.33";"0.0";"0.74";"16";"0";"0.0";"14.91";"0.0";"0.16";"59.0";"19.47"
"Strategy 4.16.119";"PASSED";"0.0";"64.53";"0.0";"1.07";"0.0";"0.0";"0.0";"0.44";"71.34";"61.64";"0.0";"1.66";"0.0";"0.14";"0.0";"0.16";"2.25";"0.0";"0.93";"16";"0";"0.0";"3.35";"0.0";"0.01";"10.72";"1.72"
"Strategy 3.14.185";"PASSED";"0.0";"694.89";"0.0";"1.63";"0.0";"0.0";"0.0";"0.41";"111.84";"78.18";"0.0";"1.2";"0.0";"0.31";"0.0";"0.91";"2.5";"0.0";"1.14";"14";"0";"0.0";"20.71";"0.0";"0.1";"62.61";"11.27"
"Strategy 2.19.160";"PASSED";"0.0";"907.29";"0.0";"1.8";"0.0";"0.0";"0.0";"0.5";"113.35";"66.65";"0.0";"1.49";"0.0";"0.41";"0.0";"2.36";"2.92";"0.0";"1.06";"10";"0";"0.0";"22.87";"0.0";"0.18";"68.36";"23.24"
"Strategy 2.18.122";"PASSED";"0.0";"600.03";"0.0";"2.27";"0.0";"0.0";"0.0";"0.69";"67.12";"47.39";"0.0";"2.19";"0.0";"0.27";"0.0";"2.25";"2.17";"0.0";"1.6";"11";"0";"0.0";"34.38";"0.0";"0.11";"61.04";"25.64"
"Strategy 4.22.133";"PASSED";"0.0";"372.51";"0.0";"1.25";"0.0";"0.0";"0.0";"0.62";"108.11";"69.78";"0.0";"1.51";"0.0";"0.32";"0.0";"1.02";"3.17";"0.0";"0.81";"15";"0";"0.0";"9.07";"0.0";"0.08";"46.87";"31.4"
"Strategy 2.16.142";"PASSED";"0.0";"774.63";"0.0";"1.78";"0.0";"0.0";"0.0";"0.61";"98.07";"49.53";"0.0";"1.79";"0.0";"0.47";"0.0";"4.23";"3.17";"0.0";"0.9";"11";"0";"0.0";"20.79";"0.0";"0.2";"64.89";"51.91"
"Strategy 4.8.166";"PASSED";"0.0";"196.29";"0.0";"1.21";"0.0";"0.0";"0.0";"0.24";"71.29";"42.92";"0.0";"1.18";"0.0";"0.27";"0.0";"0.55";"3.17";"0.0";"0.73";"16";"0";"0.0";"7.25";"0.0";"0.06";"29.5";"2.95"
"Strategy 4.20.101";"PASSED";"0.0";"194.67";"0.0";"1.15";"0.0";"0.0";"0.0";"0.5";"115.27";"76.7";"0.0";"1.34";"0.0";"0.24";"0.0";"0.36";"2.5";"0.0";"0.76";"15";"0";"0.0";"5.63";"0.0";"0.03";"29.15";"9.04"
"Strategy 3.5.181";"PASSED";"0.0";"-331.56";"0.0";"0.83";"0.0";"0.0";"0.0";"-0.57";"98.61";"68.19";"0.0";"1.21";"0.0";"0.15";"0.0";"-0.48";"3.67";"0.0";"0.57";"10";"0";"0.0";"-7.64";"0.0";"-0.09";"-42.96";"-9.02"
"Strategy 4.15.182";"PASSED";"0.0";"86.22";"0.0";"1.12";"0.0";"0.0";"0.0";"0.52";"73.83";"48.4";"0.0";"1.36";"0.0";"0.18";"0.0";"0.49";"2.17";"0.0";"0.73";"17";"0";"0.0";"4.49";"0.0";"0.01";"13.95";"0.0"
"Strategy 3.23.117";"PASSED";"0.0";"94.5";"0.0";"1.05";"0.0";"0.0";"0.0";"0.46";"71.26";"63.36";"0.0";"1.06";"0.0";"0.28";"0.0";"0.15";"4.83";"0.0";"0.93";"11";"0";"0.0";"2.29";"0.0";"0.04";"14.79";"2.66"
"Strategy 4.17.106";"PASSED";"0.0";"-398.79";"0.0";"0.84";"0.0";"0.0";"0.0";"-0.41";"96.07";"76.13";"0.0";"1.1";"0.0";"0.21";"0.0";"-0.3";"4.58";"0.0";"0.67";"12";"0";"0.0";"-7.55";"0.0";"-0.16";"-47.93";"-5.75"
"Strategy 3.7.143";"PASSED";"0.0";"-180.36";"0.0";"0.85";"0.0";"0.0";"0.0";"-0.48";"86.69";"64.25";"0.0";"1.43";"0.0";"0.16";"0.0";"-0.31";"2.58";"0.0";"0.63";"9";"0";"0.0";"-6.71";"0.0";"-0.03";"-27.06";"-8.12"
"Strategy 3.17.123";"PASSED";"0.0";"757.35";"0.0";"1.36";"0.0";"0.0";"0.0";"0.53";"105.19";"65.09";"0.0";"1.72";"0.0";"0.48";"0.0";"1.54";"4.92";"0.0";"0.84";"7";"0";"0.0";"12.2";"0.0";"0.31";"64.58";"29.71"
"Strategy 3.19.194";"PASSED";"0.0";"-449.82";"0.0";"0.57";"0.0";"0.0";"0.0";"-0.71";"40.38";"34.05";"0.0";"1.32";"0.0";"0.13";"0.0";"-0.76";"3.83";"0.0";"0.48";"8";"0";"0.0";"-24.22";"0.0";"-0.28";"-51.41";"-37.53"
"Strategy 2.23.134";"PASSED";"0.0";"586.89";"0.0";"1.51";"0.0";"0.0";"0.0";"0.66";"96.63";"67.79";"0.0";"1.8";"0.0";"0.39";"0.0";"1.92";"2.92";"0.0";"1.06";"10";"0";"0.0";"17.35";"0.0";"0.13";"58.47";"30.99"
"Strategy 4.16.106";"PASSED";"0.0";"55.35";"0.0";"1.04";"0.0";"0.0";"0.0";"0.5";"112.91";"68.4";"0.0";"1.29";"0.0";"0.2";"0.0";"0.09";"2.58";"0.0";"0.63";"12";"0";"0.0";"1.58";"0.0";"0.01";"9.27";"4.45"
"Strategy 3.10.152";"PASSED";"0.0";"72.45";"0.0";"1.03";"0.0";"0.0";"0.0";"0.57";"116.37";"75.16";"0.0";"1.37";"0.0";"0.27";"0.0";"0.12";"4.17";"0.0";"0.67";"11";"0";"0.0";"1.24";"0.0";"0.02";"11.5";"0.11"
"Strategy 2.16.146";"PASSED";"0.0";"901.35";"0.0";"1.86";"0.0";"0.0";"0.0";"0.74";"88.77";"58.42";"0.0";"1.94";"0.0";"0.48";"0.0";"5.22";"3.33";"0.0";"1.22";"12";"0";"0.0";"25.38";"0.0";"0.24";"68.23";"60.72"
"Strategy 4.3.106";"PASSED";"0.0";"-149.67";"0.0";"0.76";"0.0";"0.0";"0.0";"-0.34";"51.64";"68.27";"0.0";"1.09";"0.0";"0.07";"0.0";"-0.51";"1.5";"0.0";"1.0";"16";"0";"0.0";"-16.1";"0.0";"-0.02";"-23.7";"-9.24"
